"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Input.pair_id","Answer.Tag1","Answer.Tag2","Answer.Tag3","Answer.pair_id","Approve","Reject"
"2TEYB49F9SSS0ROHJKESX5H8JP0VRU","2Y6M25L8I9NZF04UZ2FE8QW7T1CSIW","Tag what you see in an image","Given a photo taken at a particular location, tell us what you see in this location.","image, tag, picture, tagging, photo","$0.10","Tue Aug 20 19:37:40 GMT 2013","3","BatchId:1244305;","300","86400","Tue Aug 27 19:37:40 GMT 2013","","","2PQQS1CSTMOFGL084E31IYDPOR0NQ7","ARX0S1CIDJLOX","Approved","Wed Aug 21 00:01:41 GMT 2013","Wed Aug 21 00:02:02 GMT 2013","Wed Aug 21 17:02:02 PDT 2013","Wed Aug 21 07:05:11 PDT 2013","","","21","100% (5/5)","100% (5/5)","100% (5/5)","http://201.216.244.17:7000/robot_images/84_photo.jpg","84","desk","chair","floor","84"
"2522JE1M7PKKSFEC6KQAG04O3E6QXR","2Y6M25L8I9NZF04UZ2FE8QW7T1CSIW","Tag what you see in an image","Given a photo taken at a particular location, tell us what you see in this location.","image, tag, picture, tagging, photo","$0.10","Tue Aug 20 19:37:41 GMT 2013","3","BatchId:1244305;","300","86400","Tue Aug 27 19:37:41 GMT 2013","","","2FMUKQOYGNIWKHFOOCR147SX7IBHZL","ARX0S1CIDJLOX","Approved","Wed Aug 21 00:02:06 GMT 2013","Wed Aug 21 00:02:24 GMT 2013","Wed Aug 21 17:02:24 PDT 2013","Wed Aug 21 05:32:57 PDT 2013","","","18","100% (5/5)","100% (5/5)","100% (5/5)","http://201.216.244.17:7000/robot_images/21_photo.jpg","21","desk","office","cabinet","21"
"2NCFBNFSVGULYXWLSSXNK1FV74G6KM","2Y6M25L8I9NZF04UZ2FE8QW7T1CSIW","Tag what you see in an image","Given a photo taken at a particular location, tell us what you see in this location.","image, tag, picture, tagging, photo","$0.10","Tue Aug 20 19:37:38 GMT 2013","3","BatchId:1244305;","300","86400","Tue Aug 27 19:37:38 GMT 2013","","","280E4BLYHVI4NIFIKHL8HNE1JIUU05","A1FDIHWP9E11K8","Approved","Tue Aug 20 20:14:49 GMT 2013","Tue Aug 20 20:15:15 GMT 2013","Wed Aug 21 13:15:15 PDT 2013","Wed Aug 21 06:42:08 PDT 2013","","","26","100% (24/24)","100% (24/24)","100% (24/24)","http://201.216.244.17:7000/robot_images/5277_photo.jpg","5277","blinds","window","building","5277"
"2NCFBNFSVGULYXWLSSXNK1FV74G6KM","2Y6M25L8I9NZF04UZ2FE8QW7T1CSIW","Tag what you see in an image","Given a photo taken at a particular location, tell us what you see in this location.","image, tag, picture, tagging, photo","$0.10","Tue Aug 20 19:37:38 GMT 2013","3","BatchId:1244305;","300","86400","Tue Aug 27 19:37:38 GMT 2013","","","2SSOUQIHPCGJL7PHOZN51H0LGWD60G","A2HM35CWB7IIFM","Approved","Tue Aug 20 20:12:01 GMT 2013","Tue Aug 20 20:12:29 GMT 2013","Wed Aug 21 13:12:29 PDT 2013","Wed Aug 21 06:42:08 PDT 2013","","","28","100% (55/55)","100% (55/55)","100% (55/55)","http://201.216.244.17:7000/robot_images/5277_photo.jpg","5277","blinds","window","flooring","5277"
"2NCFBNFSVGULYXWLSSXNK1FV74G6KM","2Y6M25L8I9NZF04UZ2FE8QW7T1CSIW","Tag what you see in an image","Given a photo taken at a particular location, tell us what you see in this location.","image, tag, picture, tagging, photo","$0.10","Tue Aug 20 19:37:38 GMT 2013","3","BatchId:1244305;","300","86400","Tue Aug 27 19:37:38 GMT 2013","","","2W0JIA0RYNJ9LH60MWWBQJTW85C27Q","A2I3Y0L38HMQLZ","Approved","Tue Aug 20 19:49:47 GMT 2013","Tue Aug 20 19:50:18 GMT 2013","Wed Aug 21 12:50:18 PDT 2013","Wed Aug 21 06:42:08 PDT 2013","","","31","100% (61/61)","100% (61/61)","100% (61/61)","http://201.216.244.17:7000/robot_images/5277_photo.jpg","5277","windows","blinds","heater","5277"
"26XE4EGDHDM2OFVY9JQWAHE2A5VBLE","2Y6M25L8I9NZF04UZ2FE8QW7T1CSIW","Tag what you see in an image","Given a photo taken at a particular location, tell us what you see in this location.","image, tag, picture, tagging, photo","$0.10","Tue Aug 20 19:37:38 GMT 2013","3","BatchId:1244305;","300","86400","Tue Aug 27 19:37:38 GMT 2013","","","26R9RNDWIOV1B1F339KGY13046TVGZ","A1FDIHWP9E11K8","Approved","Tue Aug 20 20:15:24 GMT 2013","Tue Aug 20 20:15:39 GMT 2013","Wed Aug 21 13:15:39 PDT 2013","Wed Aug 21 05:50:49 PDT 2013","","","15","100% (24/24)","100% (24/24)","100% (24/24)","http://201.216.244.17:7000/robot_images/4110_photo.jpg","4110","outlet","electricity","baseboard","4110"
"26XE4EGDHDM2OFVY9JQWAHE2A5VBLE","2Y6M25L8I9NZF04UZ2FE8QW7T1CSIW","Tag what you see in an image","Given a photo taken at a particular location, tell us what you see in this location.","image, tag, picture, tagging, photo","$0.10","Tue Aug 20 19:37:38 GMT 2013","3","BatchId:1244305;","300","86400","Tue Aug 27 19:37:38 GMT 2013","","","2VQ58B727M0IZ97XDXXYJSVHV22BW7","A2HM35CWB7IIFM","Approved","Tue Aug 20 20:07:24 GMT 2013","Tue Aug 20 20:07:44 GMT 2013","Wed Aug 21 13:07:44 PDT 2013","Wed Aug 21 05:50:49 PDT 2013","","","20","100% (55/55)","100% (55/55)","100% (55/55)","http://201.216.244.17:7000/robot_images/4110_photo.jpg","4110","outlet","wall","molding","4110"
"26XE4EGDHDM2OFVY9JQWAHE2A5VBLE","2Y6M25L8I9NZF04UZ2FE8QW7T1CSIW","Tag what you see in an image","Given a photo taken at a particular location, tell us what you see in this location.","image, tag, picture, tagging, photo","$0.10","Tue Aug 20 19:37:38 GMT 2013","3","BatchId:1244305;","300","86400","Tue Aug 27 19:37:38 GMT 2013","","","2HOGKCCVLL3CTXQ2H6GQ8C9PH1N6WD","A2I3Y0L38HMQLZ","Approved","Tue Aug 20 19:46:58 GMT 2013","Tue Aug 20 19:47:13 GMT 2013","Wed Aug 21 12:47:13 PDT 2013","Wed Aug 21 05:50:48 PDT 2013","","","15","100% (61/61)","100% (61/61)","100% (61/61)","http://201.216.244.17:7000/robot_images/4110_photo.jpg","4110","socket","baseboard","wall","4110"
"24DP3TVOK5UF2ZOE7M5O3FYTWIT367","2Y6M25L8I9NZF04UZ2FE8QW7T1CSIW","Tag what you see in an image","Given a photo taken at a particular location, tell us what you see in this location.","image, tag, picture, tagging, photo","$0.10","Tue Aug 20 19:37:38 GMT 2013","3","BatchId:1244305;","300","86400","Tue Aug 27 19:37:38 GMT 2013","","","2YC2JE1M7PKKSFEC6KQAG04NQ4AXQZ","A1FDIHWP9E11K8","Approved","Tue Aug 20 20:15:16 GMT 2013","Tue Aug 20 20:15:23 GMT 2013","Wed Aug 21 13:15:23 PDT 2013","Wed Aug 21 05:27:28 PDT 2013","","","7","100% (24/24)","100% (24/24)","100% (24/24)","http://201.216.244.17:7000/robot_images/5333_photo.jpg","5333","heater","wall","wood","5333"
"24DP3TVOK5UF2ZOE7M5O3FYTWIT367","2Y6M25L8I9NZF04UZ2FE8QW7T1CSIW","Tag what you see in an image","Given a photo taken at a particular location, tell us what you see in this location.","image, tag, picture, tagging, photo","$0.10","Tue Aug 20 19:37:38 GMT 2013","3","BatchId:1244305;","300","86400","Tue Aug 27 19:37:38 GMT 2013","","","2E66AUBXHWSHQ98P9R2Z0DRNOCQZ3R","A2I3Y0L38HMQLZ","Approved","Tue Aug 20 19:59:46 GMT 2013","Tue Aug 20 19:59:57 GMT 2013","Wed Aug 21 12:59:57 PDT 2013","Wed Aug 21 05:27:28 PDT 2013","","","11","100% (61/61)","100% (61/61)","100% (61/61)","http://201.216.244.17:7000/robot_images/5333_photo.jpg","5333","heater","cord","baseboard","5333"
